City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Port Elizabeth,ZA,-33.918,25.5701,53.89,94,20,1.14,few clouds
138,Broken Hill,AU,-31.95,141.4333,74.66,50,45,10.94,scattered clouds
139,Alcaniz,ES,41.05,-0.1333,69.42,49,100,7.83,overcast clouds
140,Rawson,AR,-43.3002,-65.1023,47.98,59,98,12.77,overcast clouds
141,Hualmay,PE,-11.0964,-77.6139,60.85,83,10,8.55,clear sky
142,Ewa Beach,US,21.3156,-158.0072,83.57,60,40,11.5,scattered clouds
143,Thompson,CA,55.7435,-97.8558,48.36,71,75,10.36,broken clouds
144,Fengrun,CN,39.8333,118.1167,67.15,33,46,7.65,scattered clouds
145,Vardo,NO,70.3705,31.1107,33.78,80,75,11.5,broken clouds
146,Saint George,US,37.1041,-113.5841,73.99,26,0,6.91,clear sky
147,Yulin,CN,22.6333,110.15,78.1,51,88,3.22,overcast clouds
148,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,17.27,scattered clouds
149,Khatanga,RU,71.9667,102.5,8.62,92,47,3.98,scattered clouds
150,Wad Rawah,SD,15.1603,33.1397,85.26,36,18,7.67,few clouds
151,Mopti,ML,14.6667,-4.0,73.44,100,0,6.91,clear sky
152,Hermanus,ZA,-34.4187,19.2345,54.81,87,28,8.03,scattered clouds
153,Lubango,AO,-14.9172,13.4925,63.36,59,51,1.5,broken clouds
154,Deputatskiy,RU,69.3,139.9,0.7,94,36,6.55,scattered clouds
155,Carnarvon,AU,-24.8667,113.6333,71.4,55,1,11.07,clear sky
156,Oriximina,BR,-1.7656,-55.8661,78.62,80,100,1.39,overcast clouds
157,Cabo San Lucas,MX,22.8909,-109.9124,81.61,76,9,7.0,clear sky
158,Fria,GN,10.4167,-13.5833,69.22,97,75,2.51,broken clouds
159,Port Lincoln,AU,-34.7333,135.8667,69.31,53,34,10.16,scattered clouds
160,Nampa,US,43.5407,-116.5635,65.59,40,0,0.0,clear sky
161,Viedma,AR,-40.8135,-62.9967,50.77,80,95,13.22,moderate rain
162,Lianran,CN,24.9227,102.485,61.34,67,33,3.11,scattered clouds
163,San Patricio,US,28.017,-97.5169,71.85,57,0,9.73,clear sky
164,Kapaa,US,22.0752,-159.319,75.11,77,100,6.91,light rain
165,Trincomalee,LK,8.5711,81.2335,78.69,86,100,10.89,moderate rain
166,Zyryanka,RU,65.75,150.85,15.89,76,100,13.2,overcast clouds
167,Provideniya,RU,64.3833,-173.3,35.71,100,100,11.01,fog
168,Mahebourg,MU,-20.4081,57.7,70.25,88,40,4.61,scattered clouds
169,Qasigiannguit,GL,68.8193,-51.1922,21.45,79,100,2.91,overcast clouds
170,Tura,IN,25.5198,90.2201,78.24,63,0,3.94,clear sky
171,Coahuayana,MX,18.7333,-103.6833,76.01,92,100,1.95,overcast clouds
